,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,67,33,855,715,"[43, -119, -34, -1, 162, -167, 58, 50, 2, 38, 111, -145, -151, 164, 169, -117, 48, -56, -175, -53, 128, -37, 115, 139, 152, -78, 79, 49, 41, 3, -81, 23, -169, -89, -151, 61, -108, 79, -130, 2, 14, -128, -92, 105, -34, 146, -5, 107]",0.9999865531459741,0.005933056236244738,0.006621535633922875,7.416376195651548e-05,0.38747839983195276,567.0112788677216
1,Random Searching,253,153,280,140,"[121, -30, -122, 124, -5, -126, 66, -38, 125, 53, 139, -98, 40, -125, -131, -143, 64, -35, 90, -77, 37, -53, -166, 96, 115, -157, -93, -11, -77, 82, -88, -162, -75, 54, 73, 53, -8, 154, -122, 20, 134, 50, -25, -31, 133, 84, 22, 63]",0.9999865274288605,0.008581732346404653,0.009535939428418431,0.00010727249194712973,0.24723790725878858,557.4535021781921
2,Random Searching,49,51,83,57,"[137, 14, -1, -158, -178, 1, -35, 123, -128, -7, -148, 147, -121, 117, -152, 58, -143, 171, -124, -102, 115, -122, -30, -14, 5, 60, -121, 143, -15, -140, -54, -128, -13, 165, -63, 107, 36, 155, 83, 14, -78, -85, 121, -115, 12, -65, -155, -99]",0.9999726884587269,0.0010820415870208915,0.0026104280659967664,1.3526105625451593e-05,0.14662077480653787,560.2245788574219
3,Random Searching,33,67,383,243,"[-58, 5, 180, -71, 116, 130, -98, -65, 82, 57, 149, -57, -82, -117, 1, 80, 154, -63, 129, 133, -177, -80, -144, 4, 104, 69, -85, -170, 113, 154, 145, -24, -58, 42, -98, 103, -56, 149, -1, 29, 163, 177, -10, 103, 173, 121, -91, -70]",0.9999873528481369,0.0007971562105619039,0.002009052254417761,9.965083350480521e-06,,567.4100711345673
4,Random Searching,607,507,823,683,"[159, 18, 155, 40, -160, -148, 101, -54, -145, -35, 81, 108, 130, 21, 160, -67, -143, 102, -153, 124, 73, 180, -127, 172, 5, 84, 3, 71, -143, 56, 8, 100, -72, -102, -174, -49, -52, 93, -115, -136, -49, -30, -176, 38, 89, -136, -90, -16]",0.9999826832024501,0.011329612413343662,0.012278295840398166,0.00014162107824033918,0.02103500474154419,563.2838699817657
5,Random Searching,370,270,723,583,"[-92, -128, 51, 59, -172, 148, 180, 142, -74, 113, 84, -20, -180, 80, -97, 108, 63, 90, 79, -26, 50, -25, -128, 174, -154, -38, 82, -112, -75, -167, 99, -120, 98, -93, 119, 54, -176, 137, -76, 138, 127, -162, -66, -63, 120, -62, 131, -84]",0.9999783713022867,0.002373474135917301,0.005197659463019373,2.9669079303830165e-05,-0.08917123841182682,561.2798442840576
6,Random Searching,50,50,84,56,"[112, -23, -112, -133, 176, 94, 57, 165, -112, 100, 9, 133, 94, 92, -84, -138, -64, 113, -89, 78, -158, -18, -113, 176, 48, 7, 57, 93, -156, -138, 144, 93, 159, -54, -103, 121, 14, 48, -117, 144, 22, 170, -45, -49, -95, -41, -121, 40]",0.999970303211012,0.001165742990754855,0.0026472261581184423,1.4572402302054124e-05,0.06658456883346128,569.9498155117035
7,Random Searching,166,66,596,456,"[140, -63, -77, -18, -132, -141, -170, 130, 130, 69, -46, 33, 77, -40, 12, 112, 40, -84, 47, 112, 83, 64, 30, -134, 65, -126, 147, 46, -150, -40, -39, -104, 84, 94, -37, -94, 7, -131, -127, 167, 79, 47, 25, -82, -45, 113, 128, -27]",0.9999604446491368,0.001366034324746579,0.004021773776765002,1.707617695643252e-05,0.14268863272020244,565.9073133468628
8,Random Searching,656,556,728,588,"[176, 165, -69, -82, -170, -161, 29, 69, -64, -56, -59, 104, 170, -179, -35, -105, -67, 161, -57, 142, -44, 165, -77, -133, 39, -116, -12, 106, 47, 71, 58, -23, -18, 121, -51, -52, -85, -5, 138, 57, 95, 98, -177, -144, 124, -145, 23, -42]",0.9999872517727354,0.000795704191356587,0.0020062261121270857,9.94693178681616e-06,0.03388124568419488,563.8529968261719
9,Random Searching,630,530,870,730,"[68, 71, -104, 171, 179, 57, 67, 61, -11, 33, 26, -135, -49, 73, 132, -58, 64, -161, 130, 150, -4, 155, -140, 104, -122, 135, -67, 30, 47, -73, 87, 74, 110, -13, -21, 39, 176, 34, -149, 39, -12, -8, -37, -48, -113, -11, 160, 100]",0.9999732339990074,0.002273300449208667,0.0037614932979007044,2.8416715257245037e-05,0.13221380150597822,563.3003809452057
