,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,483,383,800,660,"[-49, 73, -151, -118, 0, -136, 162, 126, 147, -140, -128, -29, -68, -78, -122, -65, -139, 53, -173, -65, 25, 128, 47, 134, -5, 13, 140, 52, 81, 35, -112, -64, -71, 161, -57, 130, 21, -15, -20, 136, 164, -65, -111, -19, -97, -50, 9, 126]",0.9999817928990499,0.007172214037079054,0.008708925317372409,8.9653226768536e-05,-0.16636423617480237,58.38340473175049
1,Random Searching,159,59,651,511,"[-22, 162, 36, -108, -5, 118, 111, -16, 137, -38, 74, 38, 174, -52, 92, -4, 16, -77, 30, 18, -94, 31, 117, 117, -47, 58, -145, 64, 94, 12, 114, 29, 125, -158, -123, -2, 168, 138, -26, -163, -106, 77, 12, -7, -98, 82, 143, -171]",0.9999663205638722,0.0012232122777883583,0.0029376334667913727,1.5290788310771702e-05,0.17247251825102453,58.08271789550781
2,Random Searching,134,34,887,747,"[-88, 82, -114, -179, -71, -180, -113, 13, 80, 4, 40, 62, 20, -79, 99, -20, -158, -84, -101, -94, -170, 22, -6, 152, -94, 170, -96, 29, 6, -130, 2, -99, 38, 147, 79, -94, -25, -79, 122, -159, 11, 3, -113, 74, -85, -160, 0, 159]",0.9999812189177445,0.003308471481432207,0.00620905731777915,4.135654654031448e-05,0.04087882665498894,58.96008014678955
3,Random Searching,293,193,633,493,"[158, -5, -157, 4, 143, -53, 179, 153, -35, -59, 144, -110, 102, 110, 164, -147, 18, -137, 12, -2, 103, 101, 100, -1, 86, 31, 158, 176, 7, -123, -41, 49, 68, 88, -2, 130, -100, -81, 47, -97, -110, -155, 179, -161, -30, 107, -159, 98]",0.9999860510968073,0.00338037944068977,0.006113677199391004,4.2255174426296365e-05,0.038301811490364594,60.712891817092896
4,Random Searching,189,89,633,493,"[-2, 96, -57, 137, -58, 59, 130, 7, -105, 180, 119, 103, 53, 33, -108, 22, 106, 84, 96, -109, 102, 167, 27, 63, -7, -126, -134, -108, 73, 57, 174, 159, -107, -155, 93, 180, -132, 25, 148, -153, -38, 111, -178, -153, 42, -116, 144, -118]",0.9999686161845007,0.0008320094445177044,0.002073456316086864,1.0400610646493307e-05,0.39882993845532644,60.49253273010254
5,Random Searching,292,192,744,604,"[62, -179, -18, -138, -76, 136, -62, -56, -137, -83, -84, -15, -34, -149, 94, 81, 98, 117, -25, 95, -135, 179, -130, 29, 67, -57, -79, -4, -144, 44, -98, 46, -68, 35, 37, -83, -150, 174, 21, -162, -84, -172, -3, -101, 34, 9, -30, -63]",0.9999837262999004,0.0011299834489667169,0.002413110776838503,1.4125299703710216e-05,0.1755168410287046,61.07675361633301
6,Random Searching,375,275,772,632,"[110, -16, -29, -39, 102, -56, 147, 127, -177, -28, 58, -122, -105, 79, -79, 8, 115, 10, 149, -89, -139, 9, 0, 71, 21, -103, 147, 180, 65, -54, -126, 146, 140, -67, 82, 155, -7, -144, 139, -61, 109, -13, 83, -134, -82, 167, 64, 80]",0.9999695473319402,0.002029732558488225,0.004309987169829841,2.5372251131943203e-05,0.01590397527189511,60.599931716918945
7,Random Searching,453,353,983,843,"[-136, 121, -61, 40, -103, -179, -10, 154, -109, 156, 133, -81, 131, -101, -121, -6, 38, 49, 40, -56, -75, -173, 98, -122, -89, -103, -177, -80, -44, -145, 109, 114, -3, 150, 15, 60, 113, 84, 65, 144, 39, 12, 159, -175, -42, 30, -96, -30]",0.99998647340526,0.0008606267171368624,0.002037085208149882,1.0758441143302419e-05,0.03958302968444218,60.5465087890625
8,Random Searching,890,790,983,843,"[40, -118, 7, -23, -73, -126, -93, 110, -116, 174, 123, -130, 145, 5, 174, 103, -133, 172, -170, -140, 144, -101, 23, 171, 0, 108, -127, -63, 30, -89, 113, -112, 63, -119, 23, -97, -132, -38, -25, 121, -73, 142, -66, 133, -143, 62, 98, -137]",0.9999776726788832,0.002346117898317364,0.004038086772124902,2.9326987138030775e-05,0.18909373205286817,60.25866174697876
9,Random Searching,73,27,346,206,"[-175, -166, -116, -151, -142, -41, -43, -21, 27, -148, -13, 164, -70, -139, 47, -50, -89, 92, -24, -102, -113, 178, 31, -90, 60, -160, -56, 30, 18, 142, 138, -78, 158, 84, 29, -92, 32, 81, 24, 2, 5, -97, 178, 154, 87, 74, -106, -96]",0.9999840371221355,0.004982437914198575,0.00716347703650013,6.228108538383871e-05,0.06451373519861028,60.081737756729126
