,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,236,136,469,329,"[105, -41, 141, -160, 86, -114, 40, -65, 159, -137, 6, 12, -76, -109, 169, -168, -94, -127, -143, 45, 42, 138, 103, -8, -119, 32, -173, 152, 125, 156, -123, 70, 161, -55, -80, 58, -108, 6, 102, -144, 80, 13, -56, 175, -34, -23, -33, -25]",0.9999860690956207,0.004642411794823905,0.0072393939320942405,5.8030702161200784e-05,-0.205238337834928,150.29951333999634
1,Random Searching,261,161,319,179,"[25, -147, 98, -165, 24, 0, 6, -75, 82, -19, -73, -149, 93, 6, -29, -78, 100, -177, -169, -160, 71, 52, -22, -118, 28, -52, -169, -101, 75, -159, 29, 70, 134, -81, -155, 122, 97, -143, 19, -35, -8, -164, -147, -134, -145, 165, 68, 20]",0.999987351242154,0.0007975478802109137,0.002009086265858751,9.969979221093143e-06,-0.014490708563407492,144.01216292381287
2,Random Searching,84,16,125,15,"[-78, -63, -108, -148, -105, 93, 23, -67, 16, -76, -84, 2, 147, -30, 158, 6, -4, 4, 160, -108, -98, 140, 110, 57, 172, 108, 87, 132, -44, -141, -104, 6, -152, -147, -111, 34, 21, -170, -37, -165, 171, -137, -23, 31, -155, -97, -1, -158]",0.9999800555231292,0.010606150429036159,0.014052190373305828,0.00013257814506236748,0.12209643716190234,140.62394189834595
3,Random Searching,599,499,705,565,"[-175, 136, 32, 88, -154, -65, -75, -119, 44, -34, 83, 143, 115, -178, 30, 51, -116, 137, -42, 46, 2, 27, -166, 47, -121, -51, -45, -61, -17, 113, -178, -152, 73, 100, -145, 72, 34, 159, -170, -171, 135, -156, -75, -171, -60, 149, 154, -33]",0.9999854900730948,0.001585437115863897,0.0029259017003996396,1.9818415581992392e-05,0.12272211387501751,138.46857237815857
4,Random Searching,52,48,106,34,"[19, -47, -58, -149, 45, 149, -36, 87, -108, 16, 175, 152, -100, -79, 1, -106, -79, 160, -58, -29, -174, 180, -100, -155, -28, 160, 20, 59, 26, 99, 110, 139, -118, -124, -111, -67, -44, 89, -144, -32, 157, -84, 102, 31, 33, -39, -158, 23]",0.9999822095832172,0.004461292856528113,0.006444415397308922,5.5766801323911036e-05,-0.10652206417926417,137.87119698524475
5,Random Searching,292,192,773,633,"[133, 164, 0, 12, -171, 10, 6, 39, -92, -139, -95, 178, 76, 153, -75, 155, 18, 39, 144, -176, -132, 164, -162, 17, 18, 50, 112, -78, -8, -140, 11, 152, -38, 83, 0, -55, -66, 156, 102, -6, -153, 179, 76, 140, 13, 180, 163, 87]",0.9999873528481369,0.0007971562105619039,0.002009052254417761,9.965083350480521e-06,,138.81252121925354
6,Random Searching,49,51,238,98,"[-9, -156, 33, -67, 126, -72, -58, -133, -7, -24, 46, -94, -126, 133, 109, 93, -67, 29, -98, -158, -166, -130, -146, 30, 41, 33, 80, -78, -117, -178, -169, -38, -149, -10, -164, 21, -58, 161, -111, -16, -58, -170, -28, 140, -92, -112, 104, -117]",0.9999866270836019,0.00113164828508161,0.0023105101611258705,1.4146227362630957e-05,-0.04637594301586379,137.2708158493042
7,Random Searching,13,87,111,29,"[166, -120, -24, 117, 77, -64, -25, -55, -69, 38, -22, 58, 66, 94, 42, -115, 175, 176, -116, 74, -129, -151, 48, 44, 98, -56, -81, -10, -166, -58, 178, 31, -111, -84, 124, 55, -49, 130, -59, -179, 59, -37, 146, 22, 169, 121, 172, -118]",0.9999849035075956,0.007166221262499069,0.008454520960383169,8.957833150203942e-05,0.04563000892438194,138.49069452285767
8,Random Searching,82,18,97,43,"[-52, -3, 68, 78, 102, 118, 147, 163, 62, 123, -160, -96, 139, -108, -138, 78, 165, -70, -36, 171, 76, 4, 56, 82, 114, -24, 34, -72, -177, -93, -14, -68, 154, -51, -4, -127, -79, 75, 25, -30, 17, 176, -25, 170, -79, 20, 65, -51]",0.9999861354481167,0.00198897691249537,0.0035966418388149145,2.4862831426688717e-05,-0.171804297897277,137.74409890174866
9,Random Searching,743,643,843,703,"[167, -60, 21, -150, 111, 86, 105, 66, -167, -59, 13, 54, -25, 126, 123, 6, -104, 71, 50, -135, -119, -132, -36, -116, 113, 113, 100, -81, 69, 138, -157, 137, 24, 107, 53, 103, -49, -20, 149, 86, -8, 153, -126, -112, 88, 152, -165, -95]",0.9999865191395266,0.0024310651885267967,0.003514359969194217,3.038892338862675e-05,-0.1013976394681184,139.8176817893982
10,Simulated Annealing,169,69,353,213,"[57.72317191803345, -40.42573011946644, -34.258593691999934, 9.277871904632024, -14.795164624426201, -48.58076020159619, -51.96233366655488, -61.8629946357203, -8.21163609661618, -24.280749290534743, 12.189246388064943, -20.608188389258924, 9.62234130442975, -39.774812268547024, -15.463233349855079, -26.38374799096554, -16.470317184830545, 21.86536753011528, -17.62284354579153, 5.8356479460715285, -21.314351244937278, -24.950644878133463, 2.842943145203296, 5.297535253125958, -6.175368583161896, -38.11593714090254, -67.8084771433829, 42.398052165707384, 20.913446785427134, -31.67371150279512, 26.399453449803765, -6.596291588501513, 19.543247132457118, 40.40130686497872, 11.66660285333798, 21.475153828326135, -24.41799918686761, 47.88673954407827, 18.84989771910332, 26.934413414263112, -45.48486988380077, -33.03703040073225, -3.8950774213529717, 9.483423147574209, -20.686127686983788, -19.111027404653953, 11.82764266443523, -15.992971310836834]",0.9999684423643176,0.002019328758857834,0.00414679161327647,2.5242263134545782e-05,0.10982534369084962,135.17303466796875
11,Simulated Annealing,184,84,382,242,"[11.340038827900258, -18.3052110085639, 28.715478831421066, 30.42662568159586, -24.87425330103205, 38.21971653485399, -41.03068125071571, 38.970196114186436, -29.25433718157656, 14.039058914715913, -42.48419260242959, -32.5000160938933, -101.5739665397331, 15.277184325677863, -69.46507793709775, 13.826081382468809, 50.59483524438033, -28.006342227278658, -37.307048439311174, -38.41159828413574, 25.147508414620667, -19.000026809123856, -41.7554444178192, 20.392583042760133, 5.965849836463033, -32.75669395869758, 43.22227551094284, 3.9977647821477302, 39.51465609118139, -14.87975176963579, 43.05900512495623, 50.87576822451728, -83.8232203021316, -30.322200818198443, 12.238424322361361, 24.78814114142358, 7.51222700069582, 32.059387223148335, 4.980679837365019, 59.8481144569175, -4.413719033944073, 22.707597050087283, 32.061032555523035, -42.914573799124256, 47.37046798408748, 49.5906588526906, 39.27612468496312, -65.83226428979154]",0.9999587120402366,0.002101139548661498,0.005016102696777538,2.6264931803091448e-05,0.06188923133393705,135.33611297607422
