,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,290,190,795,655,"[-44, 112, -13, 119, 157, -70, -103, 86, 98, 62, -52, 127, 163, -164, -82, -8, 52, -95, 26, 17, -132, -1, 105, -75, 3, 80, -44, -167, -149, -13, 161, -139, -75, 153, 96, -31, -172, 51, -120, -18, 76, -14, 114, 44, 138, -178, 161, 18]",0.9999682611957491,0.0014058796271759397,0.003425529192752335,1.75741560572598e-05,0.10426990228255416,485.60494780540466
1,Random Searching,96,4,159,19,"[-166, 133, -135, -158, 110, 164, -121, 128, 16, 88, 137, 58, 146, -76, -84, 65, 178, 109, 26, 95, -174, -22, 83, -146, -169, -139, 2, -119, 17, -13, 68, 142, -96, -41, -53, -177, 19, -46, 176, -18, 168, -144, -8, -77, 9, 172, -91, 24]",0.9999669684718084,0.001228654912362496,0.003114726196265896,1.5358816125184334e-05,0.09209938727451113,473.97693395614624
2,Random Searching,99,1,147,7,"[-140, -126, -86, 167, 26, -163, 80, 97, 42, 10, -38, -3, -59, 22, -34, 75, 60, -97, 113, 91, 56, -115, 105, 68, 117, 45, 132, -24, -168, 84, 81, 120, 98, -131, -174, -10, 73, 79, -10, 171, -118, -113, 163, 27, -64, 125, 109, 70]",0.9999675303830292,0.0014144762923630574,0.0032154214977818244,1.7681562464568033e-05,0.0593933415004058,479.8871593475342
3,Random Searching,132,32,352,212,"[-135, 43, -103, -161, -63, 179, -91, -132, -101, 128, 8, 118, -17, 0, -148, 48, 170, -135, 96, -38, -60, 28, 28, 140, -16, 147, 56, -178, 113, 68, 127, -73, -81, -25, -1, -67, 156, -10, 4, -21, 12, 90, -63, 69, 13, -172, 51, -36]",0.9999684627505275,0.0011851410478508722,0.0029367378975316285,1.481485529239816e-05,0.2165839731293372,474.5590603351593
4,Random Searching,234,134,972,832,"[-86, 148, -125, 9, 17, -57, -64, -27, -131, -91, -177, -157, 84, 115, -20, -137, -74, 109, 7, -135, 62, 80, 107, 180, -149, -84, 148, 72, -119, 124, 16, 65, 132, -174, -20, -141, 101, -5, 98, -63, -45, 95, 17, 171, 21, -82, -15, 64]",0.9999689175811678,0.0009743024517471591,0.0025643773596297163,1.2179362041733325e-05,0.381373185364238,476.4298503398895
5,Random Searching,266,166,436,296,"[-100, 16, 159, -28, 104, -140, 179, -67, 152, 3, -111, 96, 71, 50, 124, 168, 64, 49, -139, -29, -158, -135, -139, -92, 91, -63, 90, 27, 147, -60, 17, -122, -169, 62, -144, -124, 2, 179, 18, 95, 9, -164, -1, 90, -126, -163, -23, -85]",0.9999590675264893,0.0015297421390035497,0.003990244672305058,1.91224353726111e-05,0.01903804131169102,472.0299150943756
6,Random Searching,9,91,145,5,"[-152, 65, 92, 119, 172, 141, 168, 88, -50, 141, -166, -149, -70, -170, -13, -99, 137, 19, 135, -105, -87, -151, 173, -20, -137, -36, -95, -153, 146, -145, -133, 174, -142, -20, 12, 146, -53, -146, -145, -15, 142, 28, -106, -74, -91, -55, 160, 150]",0.9999639732193457,0.0012481703161029145,0.0034081710894998635,1.560277202041854e-05,0.040327369564027375,477.9071443080902
7,Random Searching,222,122,720,580,"[54, -167, -82, 69, 102, 113, 22, 126, 73, -23, -45, 50, 117, -179, 106, 112, 52, -116, -150, 69, -67, -99, -32, 76, -107, 155, -86, -43, -116, -19, -158, 143, -123, 148, 120, -53, 42, 50, 50, -64, -116, 50, 94, -70, 28, -39, 1, 38]",0.999962008720264,0.002145433691718305,0.004671817344476589,2.6818599184447077e-05,0.16479623240183058,472.9621071815491
8,Random Searching,43,57,170,30,"[35, -7, -61, -53, -18, 26, -147, -33, -30, -25, -43, 122, -28, -89, 122, 88, -152, 64, 58, 127, 99, -159, -78, 97, -145, 56, 22, 10, -70, -118, 43, -71, -67, 21, 163, 16, 131, -69, -16, -82, -44, 102, 117, -119, 130, 165, 49, -139]",0.9999758963314914,0.0011765610688598827,0.002594511026833868,1.470759041963037e-05,0.13560659408170553,481.42590856552124
9,Random Searching,224,124,251,111,"[-68, -60, 116, -93, 109, 149, 104, -42, 3, 36, 97, 129, 18, 46, 113, 67, 23, -145, -170, -164, -153, -22, 67, 78, -174, 81, 117, 104, -171, 67, 82, 158, 6, 9, -73, -178, 1, -161, 79, -66, 43, -42, -105, 86, -81, -23, -38, 108]",0.9999688023320582,0.0012921767435424654,0.002914563660503607,1.6152815527880877e-05,0.13749737376654778,473.98295974731445
