,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,25,75,206,66,"[-3, -134, -29, -89, -39, 60, 15, 38, 52, -143, 151, 133, -68, -179, 51, -13, 1, -35, -17, 37, 72, 26, -73, -77, -167, 11, -155, 176, 160, -54, -98, -19, -84, -96, 98, 147, -117, -45, 1, 44, 107, 167, -146, -94, 180, 152, -67, -177]",0.9999649642892511,0.0011941534418535107,0.0031891759522115946,1.49280686834985e-05,0.170810335860468,581.8401675224304
1,Random Searching,22,78,57,83,"[-30, -40, -165, 87, -168, 137, 95, -7, 52, -100, 146, 35, 177, 160, 8, 130, 32, 176, 77, -21, -50, -17, -120, 78, 48, -68, -75, -176, 156, 167, 75, 27, 42, -19, 37, -2, 81, -166, 57, -24, -152, -86, 119, -76, 17, 104, 171, -144]",0.9999811218146217,0.0009102510812226683,0.002951169301875125,1.1379485230005497e-05,-0.050643313915314396,581.3986628055573
2,Random Searching,241,141,295,155,"[157, -59, 96, -77, -130, -81, 50, 66, -9, 43, -147, -6, -102, 44, 89, -61, 50, 104, -73, 160, 121, 36, 14, -52, -92, -81, -32, -88, 138, -132, 131, 38, -142, 53, 146, 150, -33, 114, 103, 53, 51, -108, -76, 80, -102, 79, -13, -147]",0.9999655594467236,0.0010294304956914857,0.003061903817925914,1.2869109577800177e-05,0.18421415298343854,583.2285847663879
3,Random Searching,761,661,992,852,"[142, -82, 91, 30, -94, -163, 71, -174, -150, 101, 82, -102, -50, 47, -101, -89, 113, -6, 107, 28, 56, -18, 18, -96, -110, -163, 63, -163, 171, -93, 9, -153, -159, 29, 92, -70, -165, -178, 82, -147, 124, 33, -161, -132, 171, -99, 5, 67]",0.9999640432314933,0.001128367390871669,0.0034194176752953146,1.4105909806758099e-05,0.10630894645088733,573.054032087326
4,Random Searching,28,72,348,208,"[32, -90, -56, -74, 49, 69, -135, 74, 157, 45, 8, -91, -111, -158, -162, -14, -52, -95, -2, 49, 8, 59, 100, 137, 93, -180, 167, 7, 33, 108, -152, -38, 25, -132, -43, -28, -103, 122, 25, 34, 166, -152, 40, -113, 117, -117, -135, 174]",0.999981043462302,0.0009902055171551183,0.0030164562826616513,1.2378915679161112e-05,-0.05819096228676338,576.508985042572
5,Random Searching,46,54,68,72,"[50, 22, -6, -162, -154, -70, -161, -31, -41, 75, -100, 161, 33, -151, 8, 46, -129, 155, -9, 168, 162, -123, -103, 37, 143, -65, 140, 36, 153, -15, -128, 58, 0, 7, -86, 116, -15, -133, 86, 35, 157, -146, -94, -151, 81, -51, -119, 162]",0.9999573664764945,0.001360386411154953,0.0038528037419469567,1.700608702949154e-05,0.14248208136054694,574.0276477336884
6,Random Searching,353,253,504,364,"[64, -150, -120, 70, 139, 69, -117, 125, -111, -114, -29, -74, -86, -134, 31, 34, 62, 156, -38, 104, -33, -13, 76, -34, -122, 25, 159, 122, 64, -80, 58, -30, 45, -41, -100, -129, 74, -161, -153, -3, -152, 171, 16, 23, -44, 144, 0, -60]",0.9999679846863134,0.0036070052592549473,0.005388896650088177,4.508858620249273e-05,-0.007851799389395009,570.8180303573608
7,Random Searching,739,639,831,691,"[167, 126, 80, 76, -163, 46, -136, 146, 45, -30, 108, -6, -170, 98, 95, 132, -7, -26, 49, 167, 118, -150, 155, -48, 23, -142, 144, 150, 1, -166, -141, -98, 0, 86, -142, -38, 122, -78, -116, 154, 6, -51, 85, -6, -148, 83, 138, -42]",0.9999776993329075,0.0058919956791214645,0.007240836137422268,7.365086456657368e-05,-0.05080310958441243,572.6269345283508
8,Random Searching,158,58,741,601,"[17, 0, 31, 53, 135, -91, -99, -160, 147, 17, -107, 60, -29, -25, 41, 141, 27, -136, -138, -22, -179, -19, 142, 154, -133, 2, -29, 104, -144, -92, 69, 56, 145, -24, -5, -31, -84, -91, 177, 12, -163, -101, -110, 105, 136, -71, -26, -60]",0.9999604357736966,0.0016998475087651361,0.0035135367396813026,2.1248840853366834e-05,0.4467884073851694,581.1862392425537
9,Random Searching,486,386,496,356,"[89, 73, -173, 166, 78, -146, -112, 72, -11, 29, 40, 152, 10, -129, 116, -43, 70, -157, 111, -180, -124, -47, 64, -39, 151, 118, -142, 63, 89, -70, -70, 173, -48, 167, 6, 140, -141, 141, 39, -80, 112, 31, 20, 48, 62, 51, 132, 6]",0.999979951064641,0.004875243311592689,0.006152632924168159,6.094149650000664e-05,-0.1139369486484282,580.9889740943909
10,Simulated Annealing,322,222,502,362,"[1.8386960110590245, -109.24036196363546, -32.098302231654124, -16.720560178678504, -18.415171285985092, -5.5275840884765115, -6.515314190642377, -10.849215778642133, -20.814501270408343, -14.10974805050013, 8.823980077367331, -13.07354557623793, -49.35866592414828, 26.375643634417024, 4.975086763898834, 49.89378772671251, -67.14458009924233, 81.36000025249355, -22.609582477546734, 23.190475877692975, 21.560689658144497, -8.53746623829432, -55.64211084719353, -15.493988206570592, -54.37173490158254, -9.176478826420334, 22.657469126884287, 4.690643761309001, 6.482021800899307, -13.330640986441358, -4.103081855451093, -7.727106349399024, -15.200010563704065, 60.953938651941584, 60.193341725612584, 24.53907780901534, 22.970440593766863, 28.9413666277114, -88.37436480288123, -23.93714281984589, -7.502099310828466, 48.85557888205467, -31.115639405551942, 37.07195958254631, -7.446440218926625, 2.3825990049532693, -99.38903957673448, -16.26800919432217]",0.9999635647251391,0.0013347262283787131,0.0032083745367946295,1.6685040624067976e-05,0.3030199279792433,539.7610614299774
