,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,124,24,332,192,"[-121, -160, 32, 91, -172, 18, -36, 126, 92, 121, 172, 36, 3, 59, -68, 149, 172, -16, 112, -19, 122, -153, -75, -32, 11, -125, 17, -18, -180, 143, 91, 148, 80, -60, 176, -62, -119, -108, 104, 53, -89, 17, 160, -24, 6, -136, 154, -67]",0.9999649246764974,0.0013820856159630541,0.0037139776117464203,1.7277331362317967e-05,0.059798955446740805,65.46625304222107
1,Random Searching,210,110,417,277,"[-101, 37, -4, 75, -26, 176, -22, 13, 135, -71, -175, 76, 100, 107, -172, -113, -148, 29, 0, -69, 2, 101, -68, 154, 166, -97, 67, 130, 133, 154, 112, 98, 50, -138, 112, 131, 10, -169, -144, -25, -74, -72, -44, 48, -130, 7, -66, 35]",0.9999651027828814,0.0013526678618897372,0.0037005948523516283,1.690963740837569e-05,0.029410492377637876,65.43050456047058
2,Random Searching,108,8,886,746,"[5, -91, -100, -82, 152, -133, -70, -14, 103, 155, 84, -126, -41, -75, -20, 161, 50, -155, 139, -166, 164, 168, -65, 169, -101, -78, 24, -54, -149, -71, -136, -40, 175, -156, 72, 56, 117, 142, -112, 26, 43, 90, 36, -29, 18, -15, 180, 100]",0.9999657202381417,0.0015989348855024823,0.003570401053422741,1.9987877265373782e-05,0.051302579288433826,64.68943166732788
3,Random Searching,173,73,342,202,"[2, -168, 170, 52, 124, 45, -111, 158, 38, -31, 46, -49, -153, 168, 146, 139, -155, -64, 158, -26, -50, -73, 123, 44, -151, -105, 157, 142, -170, -3, -133, -13, 34, 116, 148, -120, 125, -134, 85, -42, 28, 34, 28, 22, -85, -87, -48, 126]",0.9999613250081695,0.0012785493454430252,0.00367932819561236,1.598302658248044e-05,0.12895376554444185,64.43839430809021
4,Random Searching,197,97,265,125,"[25, 43, -33, -104, 95, -10, -118, 155, 96, 69, 113, -123, 133, 63, -3, 125, -43, 159, 125, 93, 20, 107, -91, 68, 25, 117, 104, -129, 30, 122, 45, 7, 48, 133, 49, -174, 176, 114, -153, 52, -75, -140, -77, 98, 20, 143, 18, -41]",0.9999629412350822,0.001323622025665827,0.0034830927522591804,1.654658988104343e-05,-0.017692664842850443,64.92091798782349
5,Random Searching,162,62,285,145,"[-19, -114, -61, -25, 129, -151, -111, 57, 76, -78, -145, -33, -109, -130, 56, 32, -144, -137, 99, 180, -17, -58, 75, 150, -164, -157, 127, 157, 0, -86, -18, 2, 70, -152, -28, -128, -86, -121, 20, 77, -76, -1, -32, -143, -170, 77, 33, 10]",0.9999639129070801,0.0014271168717338394,0.0036273905579603336,1.7840191707943074e-05,0.11159696345249147,65.06566333770752
6,Random Searching,113,13,132,8,"[42, -86, -178, -54, -157, 76, -163, -62, -61, -95, -124, 113, 132, -34, -5, -153, -106, 121, -126, 42, -102, -136, 97, -37, 4, -163, 56, 123, 169, 94, -142, -170, -55, -105, 38, 136, -161, 0, -68, 154, 33, 178, -93, 165, 109, 168, -20, 164]",0.9999636381592841,0.001289427988619233,0.003393332922890654,1.611907633404859e-05,0.13766233069174466,64.47868585586548
7,Random Searching,275,175,586,446,"[158, 54, -123, -156, -51, -89, -155, -3, 57, 141, -125, 160, -4, 159, -17, 170, -81, -77, -3, -46, -134, -40, -126, 46, 74, -53, -39, 84, -8, -154, 39, -13, -9, -114, 77, -152, -1, 111, 90, 4, -155, -147, -61, -177, -146, -61, 96, -171]",0.9999588920252185,0.0016230098505426818,0.004172144877498173,2.028894752630411e-05,0.019418310148369332,65.24543881416321
8,Random Searching,132,32,714,574,"[-74, 166, 75, 131, -32, 105, -165, -146, -97, -37, -18, -113, -82, -10, -47, 81, 75, -173, -34, 8, 179, -36, -156, 155, 30, 83, 52, -142, -15, -96, 2, 37, -150, 62, -141, 87, -42, 107, 47, -121, 139, 37, 15, -61, 33, -134, -14, -20]",0.9999657620165612,0.0015331346318513777,0.0037375418018754368,1.916545220539982e-05,-0.0034833376973052443,64.76219844818115
9,Random Searching,215,115,240,100,"[87, 66, -140, -96, -47, 57, 163, 110, 41, -97, 126, -143, -135, 102, -48, 118, 56, 50, 137, -2, 6, -45, -7, -4, -102, -74, 18, -153, -16, 153, -149, -56, 83, -98, 40, -125, 150, -167, -113, 90, -159, 158, -91, 141, 10, -154, -141, 167]",0.9999652034337994,0.001202481168244655,0.0033962575072914725,1.5032143923718859e-05,0.2735417389150087,65.32922315597534
10,Simulated Annealing,275,175,457,317,"[-60.215638579507946, 8.453800047340716, -65.16541743448546, -12.811361007969259, 6.034756124105296, 27.17411975559443, -15.61578769086249, 44.51308519233706, -7.018497463512915, -45.1620079588675, 27.90662099738445, -30.806070259218217, 50.297998253626034, -6.6643514707473885, -22.99988818171436, 1.9671013020222001, 2.8819732727703116, -4.723419412179485, 0.9741176683289436, 39.507210519627165, 47.13836594509257, -17.0010743378301, -30.97518915874323, 30.83261690343503, 3.13438238859637, -10.102516343076083, 17.69533975076616, -8.57978463356758, 0.576248272145916, -36.10371102953229, -1.9442593634919971, 19.718029769561987, -50.223621231317246, 5.205582604769202, -33.724341011672514, -55.714783572669475, -24.997152055247057, 18.95657145602034, 36.84256183650522, -87.87527555646491, -34.76096481778775, -31.517408158686244, -1.8765307067427277, -47.03232154843523, 108.06480296704666, -21.076669500413082, 35.95421312338797, 11.983271348531174]",0.9999628119303384,0.0017078152207735306,0.003856961908622301,2.134890095986864e-05,0.021683832909770172,70.7848494052887
