,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,561,461,787,647,"[125, 101, -172, -2, 120, 153, 151, 19, -140, -20, -178, 118, -160, 169, 66, -5, 77, -25, 155, -95, 62, 34, -122, 72, -113, -53, -139, -78, -96, -18, -101, -120, -58, -52, -39, -15, -73, -148, -99, 118, -137, 117, 32, -26, -76, -67, -168, -65]",0.9999811052381768,0.0008835851185722277,0.002949215176381147,1.1046160696874863e-05,-0.024652467409530334,151.12339091300964
1,Random Searching,265,165,377,237,"[-57, 50, 139, -72, 149, -57, -168, 134, 53, -136, 84, -48, 84, 128, -154, -49, 70, -87, -81, -35, 178, -59, -68, -108, -175, 79, -175, -50, 74, 158, -150, -43, 62, -16, -80, -154, 3, 67, -105, 93, 70, 143, 32, -85, -132, -110, -79, -98]",0.9999801021794316,0.005672753041532512,0.006424569745113819,7.091005984737664e-05,0.06583104347172945,150.19495129585266
2,Random Searching,39,61,258,118,"[-123, 178, -20, -97, 17, 175, 35, 61, -29, 141, 96, -132, -31, -156, -107, -131, 180, 96, 68, -166, 118, 58, 174, 179, 36, 21, -111, -145, -179, -150, 94, -121, 37, 74, 88, -1, -122, 88, 31, 9, -175, -18, -157, -41, -178, -10, -90, -20]",0.9999697434690484,0.0030213969973071166,0.00545350222867324,3.776864226371782e-05,0.028659947403151153,144.80646586418152
3,Random Searching,28,72,62,78,"[-140, 46, 46, 143, 152, -149, -133, -71, -130, 81, 29, 145, -93, 114, 135, 86, -31, 83, 124, -50, -11, -4, -35, 172, -107, -133, -149, -70, -17, 61, -140, 27, 87, 147, 79, 48, -115, -48, 12, 9, 150, -178, 104, -30, 111, 150, -76, 115]",0.9999635405884056,0.00597386251805195,0.00851624364787034,7.467446349096819e-05,-0.09260639050525706,142.6705825328827
4,Random Searching,54,46,360,220,"[-119, 17, 85, -123, 137, 40, 65, 37, -95, 142, -101, -128, 157, -132, 112, 91, 153, -72, 51, 9, -135, 172, -91, -153, 16, -17, 111, -153, 13, -142, -62, -151, -47, 52, -100, 145, 64, 39, 90, -26, -137, 52, -19, 143, 34, -12, -21, 73]",0.9999607808302035,0.00226906737467895,0.004476289062825047,2.836443283029137e-05,0.14730974220327048,143.06384348869324
5,Random Searching,203,103,746,606,"[137, -78, 65, -170, 68, 91, -105, -97, 51, 166, -69, -178, 50, 4, -157, -138, 101, -16, -32, -174, -142, -151, -83, -103, 19, -95, -87, 47, 154, 81, 30, 148, 118, 168, 18, -98, -19, 64, -126, -173, -119, 82, -62, -101, 38, 169, -136, 89]",0.9999767611547421,0.009334544263159236,0.010652704670151432,0.00011668260588909583,-0.044788474256163134,142.2347710132599
6,Random Searching,7,93,78,62,"[8, -143, -149, 120, 30, -75, 50, -168, -26, -141, -26, 55, 5, 90, -27, 17, 128, -31, -8, -139, 70, 6, -10, 108, 68, -151, 43, -99, -45, -45, -116, 59, 9, -31, 120, -74, -139, 24, 117, -93, -31, 26, -57, 22, -6, -155, -108, 6]",0.9999808878882214,0.0015714832358450317,0.0032991730069023496,1.9644779993750507e-05,-0.010553605515724089,146.16019415855408
7,Random Searching,185,85,474,334,"[28, 131, -172, -90, 50, 46, 36, -66, -10, 91, 90, -86, 36, 152, 81, -4, 140, -11, -58, -9, 160, -66, -123, -14, -20, 87, 94, -56, 124, -31, -63, -104, 175, 5, -92, 130, 127, -173, -50, -36, -176, -33, 170, -176, -9, 162, 0, 135]",0.9999799825598559,0.0049290932462705914,0.005817323164147688,6.161438946418129e-05,0.18788952964766434,144.74269795417786
8,Random Searching,82,18,146,6,"[-14, 121, 123, -141, -125, 75, 114, -122, -111, 126, 31, -166, -90, -117, -151, 113, 93, 82, -12, 58, -36, 137, 175, -141, -79, -82, 172, 96, -162, -28, 101, 37, 158, -137, 157, 30, -25, 32, -178, 151, -96, 58, -89, -123, 57, -101, 159, -171]",0.9999771911814989,0.0019235166206878298,0.004684807424815661,2.4045291193299323e-05,-0.08616199689957733,145.19169974327087
9,Random Searching,785,685,974,834,"[-70, 24, -79, 178, 8, 157, 113, 64, 170, -180, 120, -113, 88, -78, 29, 4, 56, 155, 134, -64, 73, 13, 117, -58, -75, -93, -163, 174, 18, 51, -124, 62, -62, -158, 80, -137, -46, 17, -111, -13, -69, -139, 12, -12, -151, -55, 71, -12]",0.9999803894996961,0.004019819364960616,0.005318885448033972,5.024852130053417e-05,0.1468808652953446,144.11558961868286
