,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,9,91,31,109,"[62, 100, -72, -69, 83, -90, -177, 121, -79, -72, 0, 173, -47, 125, -145, -64, 38, -101, -58, 92, -31, 110, 7, -141, 77, 8, 173, -24, -156, 136, 101, 154, 24, 0, 13, 23, -155, 57, 35, 46, 154, 156, 25, 21, -106, 103, -64, 85]",0.9999747896448254,0.0027681262339077266,0.004575950748339732,3.460280291971169e-05,-0.07625997062783953,627.0628826618195
1,Random Searching,120,20,656,516,"[122, -8, -2, -159, 94, -77, 105, -159, -122, 7, -11, -148, 149, 24, 180, 168, -63, 172, -167, -168, -162, -128, -17, 71, -160, -22, 159, 52, 136, 61, 153, -75, -9, -91, 49, -56, 6, -31, 48, 4, -155, 2, 157, -144, 6, -22, -179, -101]",0.999965180176068,0.001486531405438048,0.003598075553957064,1.858280140666e-05,0.1491714534860308,587.8294115066528
2,Random Searching,717,617,871,731,"[-121, -98, -53, -126, 166, 87, -167, 176, 94, 88, -32, -115, 91, -22, -50, 151, 138, -94, -102, -52, 49, -38, -166, 180, 68, -79, 108, 17, -102, 7, 148, 178, -20, 164, -48, -96, -171, 29, -4, 29, 159, -120, -150, 114, -2, 36, 71, 156]",0.999964731413046,0.0013424664891014495,0.003518587903374814,1.6782150561751058e-05,-0.0037769841124551604,581.3870358467102
3,Random Searching,143,43,625,485,"[150, 45, 84, -155, -59, 113, 46, 176, 20, -136, -87, 83, -37, -137, 120, -37, -129, 10, -108, -13, -113, 9, 159, -118, 13, -97, 60, -147, -75, 51, -42, -10, -43, 142, 112, -143, -50, -111, -70, -134, 43, 37, -89, -105, 180, -125, 143, 48]",0.9999470355514218,0.0018512488071185849,0.005664582107285226,2.3142009827354726e-05,0.05771139083245449,577.7890491485596
4,Random Searching,460,360,585,445,"[57, 93, -126, 12, -155, 100, 58, 177, -49, 169, 47, 91, -177, -82, 62, 25, -163, -21, -177, 19, -91, 39, -83, -32, 121, 42, -29, 180, 152, -65, -120, -165, 113, -108, 105, -51, -53, 8, -40, 15, -50, -147, -49, -169, -31, -114, 71, -76]",0.9999698177020688,0.001382507970750642,0.0034612454619523058,1.728265509926883e-05,0.024449309063673857,574.4003279209137
5,Random Searching,30,70,249,109,"[19, 68, -148, -124, -2, 118, 28, 151, 13, -97, -163, 58, -91, -83, -98, -20, -163, -46, 46, -130, -36, -7, 63, 26, 172, -146, 5, 161, 26, -60, -58, -158, 167, 29, -141, 32, 55, -24, 86, 39, 153, -170, 62, 146, 178, 67, 68, 59]",0.9999635578495456,0.0015264801865365976,0.0037797316589526678,1.908222680910365e-05,0.029194615652046976,576.514003276825
6,Random Searching,855,755,870,730,"[-12, 118, -9, -78, -10, 150, 147, -177, -60, 78, -52, -156, 132, 179, -27, -127, 57, -28, 25, 14, 164, 38, 92, 134, -81, 78, -161, 10, -125, 76, 52, -36, -173, 22, 104, -59, -124, 95, -12, 38, -43, -10, -75, -111, -21, -151, 142, -152]",0.9999620778681833,0.0012702472158707678,0.0034572999245197724,1.5879277510156332e-05,0.14182686517352666,576.7282576560974
7,Random Searching,398,298,651,511,"[68, -152, 139, 80, 52, -62, 40, -156, 102, 38, 43, -112, 84, -95, -92, -96, -96, 131, -47, 140, -128, -117, -41, -104, 156, 98, -111, 0, 129, 108, -101, -36, 158, 120, -170, -108, -152, -123, -126, -17, 121, -64, 19, 1, 150, 150, 179, 121]",0.9999648693891281,0.0013947466116709015,0.0035840909087401286,1.7435557300021135e-05,0.11657980562816495,576.1793727874756
8,Random Searching,466,366,506,366,"[-67, -38, -57, -109, -99, 104, 39, -109, -113, 45, 52, 148, -156, -109, -37, 119, -45, 91, -133, -31, 15, 168, 45, -61, -38, 13, -149, 99, -149, -34, -78, -179, -110, -89, -143, -70, -96, -73, -85, 131, 171, 48, 43, 16, -160, 28, 77, 44]",0.9999636229082942,0.0012383251353943099,0.0032919189925814185,1.548008180789356e-05,0.26572476330566114,583.0564181804657
9,Random Searching,35,65,558,418,"[-109, -37, 74, -85, -106, -168, 147, 164, 72, 113, -161, 25, 2, -116, -91, -95, -36, 23, 16, 43, -85, -152, -32, 173, -161, -151, -174, 50, 72, -162, -140, -75, 167, -73, -122, -58, -110, -40, 12, 128, 164, -93, -47, -65, 58, 94, 159, -62]",0.9999740744158838,0.0012296838152299947,0.0032263814484925664,1.5372300645543855e-05,0.11140328796030169,574.2306764125824
10,Simulated Annealing,270,170,549,409,"[15.694017483154092, 13.395870100369322, -49.587411457985155, -7.851645660535301, -22.082941501925667, -7.290333161999925, 4.1227690834055775, -17.527314181253455, -51.284251855835294, -29.01275888593063, 5.93876825447691, 17.313629518762355, 24.681568304468705, -19.954052320116034, 48.57734600545591, 25.98476649801534, 1.7048705986864765, 12.218414736137065, 3.5751222843970223, -16.79413129947723, 36.746214892697125, 19.856937486129745, 18.91366780891326, -36.501513625363735, -41.69268751347773, -2.4244967732338294, -13.14613138232189, 62.35039936356816, -50.5438589495447, 32.90930197679218, -48.98620002383609, -18.262423336821453, -13.601391411158877, -24.488608089267508, 35.44592405061519, 44.11795878615147, -6.316431707814724, -0.5023987809885719, 43.51578962605622, -29.438774399177916, 14.597060157908013, 25.31159111963974, -30.7928944905153, -16.881806823700764, 14.695066503035935, -61.22917207161723, -38.17524803572377, 58.838356004027204]",0.9999487368410088,0.0025047009548870847,0.006285135197698875,3.131015802863637e-05,0.033125765660798175,805.89573097229
11,Simulated Annealing,163,63,543,403,"[-6.223656416222045, 16.6554581392422, 46.340412904100475, 15.092736059376794, 24.663925657183714, 98.69106813537351, -46.78838594492801, -22.40631493678144, 44.840531424599966, 18.176073569534722, 7.597217474230043, -42.707506447473826, 34.289867102168884, -18.378592680765347, 5.383603624222975, 4.207443592065782, -64.3096935810867, 11.138167695894172, -38.52799297619863, 53.0985824285558, 11.182003024979139, 33.732355186581955, -10.59661125727321, -29.533329587069364, -30.618062458803653, 19.833690991664348, -25.214765550086064, -10.200687847286162, -53.274427164765285, 36.26894556788525, -11.277810223923453, 74.75894145447658, -29.675007127846506, 45.99759283840765, -43.29682364827543, -43.52586487627006, -4.3868415300786, -6.692771057132861, 5.254286449164325, -6.0147492909947, 31.146575914072475, -24.250618885337982, -6.695365728122245, -26.639239802230797, 5.829813129503904, 4.898941084179974, 2.2261181243183206, 11.197912349321358]",0.9999723713490909,0.001988398148872269,0.004047721075994893,2.4855980195284685e-05,0.15544065699775308,774.945588350296
12,Simulated Annealing,319,219,500,360,"[-4.8742525228429265, -22.788731370483667, 9.963387248453248, -30.79206768308548, -20.96937871845077, 27.45391888383499, 48.713841241644026, 16.55927378765628, -33.69490972785022, 10.379581062595182, 71.8192751820635, -10.908892208222586, 31.158669625214134, -3.4730328037462965, 35.897830909551786, -2.269937475090153, 21.970705996060378, 60.115501747849414, -10.24720682483066, 32.71464588182717, 8.469639214341004, -5.676438244174359, 23.452511950602194, 24.63351291911682, 66.4317864174688, -2.10523206497494, 87.16242076976242, -12.824903306795143, 8.733107218013398, 26.14031572702184, 18.369621985732554, 1.0088026009326756, 22.572713933187323, -56.64670932981577, 11.960607910321457, -56.575103214476925, -4.963194304194943, -17.37265177548259, 22.772400372623068, -36.835453423611746, -36.531055776985255, 0.6729892796583752, -63.00186916144621, -18.673335480170834, -34.623243362097476, -104.58088905975754, -39.85776350068768, -4.879477015343161]",0.9999395241286065,0.0018031859702508273,0.0055109650020586315,2.254111798217495e-05,-0.014519107716069806,787.9067025184631
13,Simulated Annealing,397,297,722,582,"[-14.658846488453516, 100.39317488430213, 37.75224231346692, 27.78211672221978, -40.164834127305035, 11.552361875827001, 73.78627884795479, -37.58596043610471, 6.238610452893322, 10.572822531863716, -32.529203034244674, 17.69482210994057, -57.21996511551003, 9.304838434452794, 27.093816323289804, -1.246791212625754, 48.89968057878806, 63.18251808264655, -13.979061140995945, -80.1831946434002, -17.660888297540577, 5.012788193863451, -27.985186792740897, 14.296629265399009, -0.4988370647473673, -19.372318179880676, 18.205926217317185, 3.6723689848294554, 9.239960953226856, 22.767139878944306, 24.001111215873458, 1.0031948993623312, 24.635425691105958, 88.09557971381376, 11.123839138662719, 11.760808064722708, -82.95001288480464, 11.509926630379757, -25.711312543787457, -9.079310542333092, -10.901121728218383, 134.20240854762227, 56.20160209525384, -35.978768650597885, -24.814235553102055, 25.042167088307128, -20.83111666507898, -2.480034779788076]",0.9999634348768899,0.0017135507077910006,0.0038097714418495942,2.1420470060139052e-05,0.15171758846003466,769.952668428421
14,Simulated Annealing,163,63,609,469,"[-51.24910997963267, 12.101949376967804, 11.589939774852596, -26.006195170720265, 46.192843129771845, 39.997011069859, 1.0668306479961305, -37.24351319499718, 3.024674266732892, 52.5610981731308, 51.27417566000818, -17.61089412435621, 47.20522739924135, -51.822975622418134, 14.104797115785253, -25.90640279334658, -27.023783833021497, 20.54642033327294, 27.70907391020298, 13.829515550576193, 65.49510971975299, -53.870360283304905, -12.794399081789303, 35.35118280693173, 0.8810590681442773, -20.726948931488643, 17.56772611951337, 13.948909826635658, 3.3293322688307705, -37.10429551933293, 7.282914035978116, -52.72049996869618, -25.160381649759493, -23.93135567067696, -45.274771522416124, 22.775116399917195, 15.221866854712465, 54.78877455071065, 9.837083654497043, -23.1452412266504, 13.79626697770871, -15.41515749257917, -6.10481324848991, -37.44882529557541, -12.083167490567707, 28.87483434818619, -12.934283448945552, -53.51525355975768]",0.99997155469907,0.0025433277429935215,0.004114609666884754,3.1792465364866044e-05,0.21460358173471292,771.3411934375763
15,Simulated Annealing,303,203,565,425,"[-103.33031117888673, -5.445262877109457, 87.2348107830141, -54.66363296520484, -35.35843558424503, 17.906989918667875, -104.6464759333213, -171.08670089083677, -172.77628911065415, -137.77680985102117, 160.50250798856803, 87.47350794320948, -138.24977152834575, -139.41673027345144, 87.02312036063495, -0.7542960241118806, -45.185143520925806, 59.68752452452753, -95.31851510570752, 123.6928321104196, -101.0646506298603, 50.641127969318575, -114.80106126265679, -3.954091869271366, 96.2650503759919, -90.69818531061016, -50.124499122073104, 62.07828518085253, 157.59605060910928, -74.27198870367073, -134.331389807912, 42.88544599555027, 80.99757450068176, -20.322750479095305, 167.60076801621028, -140.01477510406318, 123.85337735671612, 126.4594619918393, 30.514828048192555, 113.82897924362396, 56.57029554326252, -89.31611719606133, -37.82635029043212, -38.45543164111035, 23.6623398005282, -155.28340420056068, 101.07955655120304, -3.5282900237434376]",0.9999647432210735,0.0019159771375901378,0.004040793866488859,2.395098980968517e-05,-0.013593750218520615,785.3250207901001
