,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,479,379,488,348,"[-170, -168, 19, -47, 118, -159, -26, -133, 60, -84, -100, 140, -170, -138, 62, -161, -38, -129, 33, -125, -96, 144, 116, 5, 61, 171, 94, 65, 147, 54, 162, 49, 155, -119, 154, 28, -155, -60, -129, -38, -87, 25, -59, -11, 55, 76, -61, -40]",0.999985501437231,0.003025707521980318,0.004339408369291229,3.7821955269143704e-05,-0.18813719152384373,571.0883452892303
1,Random Searching,662,562,861,721,"[118, 133, 78, -116, -173, 98, 43, -171, -133, -67, 29, 92, -57, -45, -119, 7, 24, -43, -150, -171, 152, -95, 66, 78, 129, -163, -3, 105, -155, -57, 158, -124, 59, -62, 147, -93, 125, -10, 36, 53, 76, -12, 15, 135, 150, 17, 114, -91]",0.9999622491131027,0.0011164100578753278,0.0034181481667732083,1.3955857014578266e-05,0.20136741301691458,566.90744805336
2,Random Searching,41,59,51,89,"[-179, 14, -79, -83, 109, -176, -158, 65, -12, -49, 83, 45, -20, -106, -69, 89, 48, -33, -67, -42, -111, -77, 117, 96, -156, -33, 16, -32, 126, -100, -19, 119, -130, 59, 6, -9, -36, -57, 52, -116, -38, -118, 23, 80, -66, -140, 64, 18]",0.9999733027611367,0.0007493950640006611,0.0019383126722125163,9.367877802874597e-06,0.4691159350939799,565.7336027622223
3,Random Searching,70,30,244,104,"[-180, 72, -18, -5, -59, 9, -47, -127, -110, 99, -142, -48, -95, -123, 129, -83, 50, -168, 29, 27, 31, -132, -1, 76, -154, -144, 116, 144, -82, 56, 98, -124, 180, 126, -84, 3, -64, 62, -148, -69, 141, -30, 156, -95, 172, 53, -144, 88]",0.9999814466442729,0.00626865361603753,0.008502822744850088,7.835867460503179e-05,-0.1161444752168166,563.613264799118
4,Random Searching,76,24,86,54,"[156, 123, 60, -142, 179, -168, -14, -90, 19, -9, -151, -134, -50, -51, 149, 91, 91, -82, -167, -46, -37, 44, -161, 79, 70, -56, -97, -5, -112, 15, -180, 162, 69, -88, 119, -3, 115, 25, -69, -18, -169, -41, 170, 180, -111, -37, 124, 76]",0.9999654069931948,0.001032052910886705,0.003067037922674646,1.2901272389256818e-05,0.11975103683335576,569.4860444068909
5,Random Searching,5,95,43,97,"[-173, -61, 8, -114, -4, -167, -18, 50, -48, -178, -105, -26, 178, -60, 39, -37, -158, -95, -177, 54, 118, 44, -74, 89, -64, 91, 121, 175, 64, -122, -94, 125, 155, 25, 38, -125, 136, 18, -29, -21, -81, 5, 13, -116, -106, 51, 99, -40]",0.999966385210614,0.0010547951436213527,0.0027559697803862197,1.318554381749269e-05,0.1328539266656491,571.2711572647095
6,Random Searching,294,194,456,316,"[-10, -60, -47, -117, -92, 180, -30, 115, -20, -78, 125, 28, -79, 66, -159, 71, 126, 38, 100, 46, -130, 127, 27, 150, 100, -3, -131, -83, 146, -89, 46, 141, 12, -108, 143, 136, -141, -150, 41, -157, 61, 90, 37, 165, -171, -48, 115, 9]",0.9999626920959241,0.0010660602323090038,0.003181246556701987,1.3326408731401483e-05,0.17282634640591288,563.1132891178131
7,Random Searching,64,36,79,61,"[-67, 162, -140, -162, 52, 125, 116, -67, -174, -86, 73, 93, 18, -134, -154, 170, 9, -63, -141, 130, 82, 57, -84, -158, 42, 139, 99, -70, -48, -92, 2, 84, -165, -179, -20, -7, -18, -119, -59, -17, -89, 29, 0, 165, -116, -166, 179, -159]",0.9999788435479736,0.004634440876543522,0.0067189336271294645,5.793095896042163e-05,-0.17673146253032862,565.7595322132111
8,Random Searching,187,87,522,382,"[45, -174, 142, -177, 62, -43, 54, 94, -115, 94, 40, -7, 154, -176, 179, 40, -130, -119, 76, -24, 132, 144, -132, -170, -114, -167, -152, -135, 139, 161, -129, 48, -72, -140, -74, 83, 97, 50, 25, 175, 78, 160, -171, -168, 60, -116, -73, -109]",0.9999697539270994,0.0011856477309872087,0.003108528811414163,1.4821190028689372e-05,0.10740455025387857,567.2221639156342
9,Random Searching,599,499,672,532,"[-148, -100, 140, 98, 84, -18, 43, 69, 47, -53, 158, -23, 145, -71, 58, -12, 77, -24, 87, 3, 124, -26, -146, -10, 163, -126, 103, -36, -167, -52, 31, 23, 86, -83, 54, -56, 123, -153, -59, 71, -38, -126, 145, 117, -147, 83, 2, -38]",0.9999818762975174,0.0039234100210402785,0.005559946889089363,4.904304849148073e-05,0.00399425341456385,580.4904501438141
