,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,56,44,103,37,"[-24, -47, 12, 169, 0, -39, -125, -85, 21, 94, -98, -69, 115, 172, -119, 31, 164, -175, 163, -70, -35, 73, -90, -169, -172, 147, 37, -165, -123, 136, -1, 119, -5, -41, -23, -30, -26, 156, 178, 162, -127, 82, -115, -82, -114, 35, 86, 65]",0.9999766114521093,0.004373232897099418,0.0069884815771253505,5.466590323248884e-05,-0.05759529105910876,58.33172154426575
1,Random Searching,15,85,70,70,"[92, 139, 102, -75, -63, 92, -75, 60, 146, -137, 50, -80, 151, 102, 162, -43, -83, -135, 67, -157, -67, -21, 80, -14, 127, -27, 149, 158, 81, 124, -40, 98, -142, -33, -73, -111, -118, 57, -100, -166, 170, 74, -115, 4, 93, 89, -67, -23]",0.9999665800050205,0.0011496048440070203,0.0031147051676609994,1.4370711481652247e-05,0.11427410544759058,57.96549034118652
2,Random Searching,116,16,775,635,"[167, -180, -163, -180, 4, 135, -135, -149, -58, 47, 124, 177, 89, 59, 42, 80, -24, -32, -18, -110, -169, -52, 154, 136, -107, -77, -30, 111, 110, -84, 145, 28, 81, 26, -64, 132, 11, -85, -157, 48, -21, -38, 172, 34, -13, -119, 93, 103]",0.9999714299523444,0.0010609005209213744,0.002600454715885248,1.3261851957034116e-05,0.11432354514927327,59.261417388916016
3,Random Searching,397,297,673,533,"[175, -163, -152, 36, -162, 171, 137, 156, 155, 39, -77, -69, 22, 171, 66, -170, 101, -43, 100, -66, -146, -117, -157, 73, -84, -139, 20, -151, 70, -147, -43, -107, 51, -129, -42, -38, 137, -4, 18, -8, -18, 171, 149, -111, 80, 176, 165, 5]",0.99998652645322,0.0018311424792045725,0.00290023625732026,2.2889629380038172e-05,0.25869629161089125,58.4217689037323
4,Random Searching,345,245,684,544,"[160, 144, 116, -61, -137, -59, -94, -155, -160, -148, -101, 5, -134, -12, -152, 81, 105, 72, 24, -146, -162, -67, -166, 123, 81, 63, 20, 7, 122, -88, 111, 143, 147, 79, 97, -117, 86, -104, 73, 124, 114, 29, -65, -146, 140, -178, 11, -174]",0.9999694949903467,0.0010373698411664614,0.0027217563721160043,1.2967746978388691e-05,0.1243501485463494,58.45676517486572
5,Random Searching,164,64,420,280,"[-170, 20, 175, 101, -81, -137, 20, 51, -85, 20, -80, -119, -38, -168, -120, -174, 166, -124, -103, -130, 22, 10, -68, 152, -28, 146, 13, 60, -37, -1, -126, 44, -109, -47, 102, -113, 37, -107, -48, 102, 67, -167, 64, -56, 2, 69, -6, 141]",0.9999823993652053,0.00453139063999212,0.006370383919081429,5.6642815316423164e-05,-0.03466684672742334,58.520641565322876
6,Random Searching,489,389,608,468,"[41, -148, -110, 84, 28, -22, 98, 64, -91, 25, 127, -176, 94, 144, -95, -110, -159, -64, -110, 131, 87, 119, 41, 88, 137, 161, -85, -144, -37, 118, -132, -173, -82, 70, -27, -68, -177, -160, -59, 177, 94, 54, -25, -85, 86, 119, 77, -62]",0.999982145941083,0.002027512712326522,0.003539256108039937,2.5344517883580194e-05,-0.13141409797630355,58.239869594573975
7,Random Searching,136,36,248,108,"[-55, -167, 80, 44, 38, -14, -114, -54, -101, 114, 68, 37, -47, 70, 25, 45, 117, -13, 67, 59, 53, 25, -107, -26, 28, -96, 58, 34, 62, -29, 157, 144, -111, -103, -159, 12, -130, 77, -138, 96, 120, 150, -130, 26, 123, 156, 168, -89]",0.9999874009693651,0.0017451297996255257,0.002924966641539344,2.1814743251177985e-05,-0.20537609742123575,57.83600330352783
8,Random Searching,123,23,430,290,"[-136, -158, -168, 129, 96, -119, 138, -165, -167, 34, -34, -97, -83, -1, -2, -122, 58, -59, -147, -148, -115, 47, 1, 180, -165, 90, 56, 41, -137, -54, 155, 46, 141, -162, -33, 0, -77, -111, 146, -47, 1, 96, 7, 122, -102, -22, -134, -29]",0.9999878632206818,0.0038581148013084503,0.0044428147820333806,4.822673995251074e-05,-0.1653171532293613,59.23336172103882
9,Random Searching,383,283,950,810,"[-53, -159, 151, 58, -104, 91, 1, -108, -49, 168, 174, -11, 84, 18, 16, 32, 41, -101, -139, 64, -153, 105, 63, 113, -67, -42, 17, 1, -56, 110, -2, 29, -92, 90, 75, -156, 16, -76, 69, -31, -107, -90, 178, 109, 32, 70, -162, -136]",0.999970985873814,0.0010756117844721302,0.0026900128422320943,1.3445745809613651e-05,0.04526929535164511,59.43516206741333
