,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,83,17,273,133,"[-175, 37, -9, 88, -103, 24, 129, -112, 43, 11, 39, 6, -156, 101, 20, -75, -42, 84, 5, -172, -172, -177, -37, -88, -62, 156, 78, 114, 89, 175, 148, -34, -83, 81, -113, -173, -56, -164, 13, 49, 116, 125, 159, 145, -154, -27, 157, -7]",0.999986173161282,0.004309685537009499,0.0054085413016204285,5.387143806128325e-05,-0.2631228676879913,143.24563074111938
1,Random Searching,679,579,739,599,"[104, 133, 107, 36, -125, -133, 87, 126, 58, 85, -87, 144, -101, -41, 97, -4, -55, 119, -84, 47, -67, -176, -34, -92, 90, 25, -23, -64, 157, -21, 26, 16, -143, -167, -131, 120, -171, -36, 70, 104, -49, -27, -83, 23, -76, -112, 85, 149]",0.999987820412661,0.003787160448458356,0.00446468149919718,4.733987819481895e-05,0.01359642439088087,146.14150023460388
2,Random Searching,553,453,644,504,"[-87, 68, 35, -53, 78, 136, -171, -23, 140, 146, -73, -50, -89, -50, -24, -81, 68, -70, 137, -30, 164, 4, -21, -16, -51, -21, 88, 178, 116, -89, 36, 4, 92, 40, 121, -119, 25, -95, 23, -98, -151, 6, -167, -90, -126, -52, -91, -112]",0.9999877483736328,0.0017584136270064241,0.0029039428603812745,2.1980719708793558e-05,-0.10094123068146489,140.44514513015747
3,Random Searching,59,41,100,40,"[-109, -160, -43, -174, -112, -81, 108, 175, -123, 92, 122, -46, 176, -28, -175, -70, 169, 66, -12, 109, 99, 88, -120, -111, 44, -150, 146, -3, -170, 104, -86, -169, -17, -25, -133, -30, -25, -140, 57, 152, -58, 103, 177, 32, 165, -170, 28, 78]",0.9999797182720901,0.006513869617871629,0.009178111478966043,8.142413391587195e-05,-0.08565544255350142,141.60410714149475
4,Random Searching,469,369,487,347,"[26, 26, -169, 128, -45, 118, -120, -148, 150, 108, -90, 69, -110, 140, -99, -101, 77, 26, -158, -67, 165, 59, -35, -53, -86, 47, -30, -130, -40, -13, 105, -102, 14, 143, 81, -119, -150, 78, -1, -148, -159, -128, 160, -74, -102, 134, 170, 71]",0.9999881565632677,0.0007670755439903587,0.002001413884685675,9.589070232872485e-06,,142.15024876594543
5,Random Searching,22,78,169,29,"[-140, 156, 16, 161, -45, -44, -75, -87, -133, 178, 90, -98, 130, 63, -73, 20, 112, 65, 44, 54, -139, -163, 81, -76, 0, -46, 54, 82, -43, -32, 48, 161, 87, -50, -19, -146, 136, 89, 89, 59, -7, -130, -175, 68, -55, -163, 41, 113]",0.9999869755427705,0.006277706129670453,0.007417928569875505,7.847169506236476e-05,-0.3164408100711218,149.66502714157104
6,Random Searching,217,117,496,356,"[23, -109, 164, 141, 161, 81, -19, -116, 161, 110, 21, -127, 145, -131, -30, 38, -145, -125, 16, -94, -31, -10, 102, -155, -159, 8, 68, 32, -4, -122, 19, 55, -8, -174, 96, -27, 127, 33, 63, 45, 56, -136, 173, -19, -117, 169, -104, -25]",0.9999840140990612,0.003871231504793589,0.005850176188683973,4.839093346317705e-05,-0.23552449157875377,148.46914911270142
7,Random Searching,18,82,30,110,"[113, -110, -157, 131, 109, 140, 38, 110, 105, -109, 134, -72, -78, 167, -77, -26, 164, 171, 158, -120, -118, 37, -84, 155, -27, 25, 147, -126, 113, -57, 36, 107, 138, 168, -38, -18, -43, 55, -58, -143, -33, 65, -43, -18, -27, 57, -152, 48]",0.9999845984890484,0.006139036301950302,0.00796377071204396,7.673834463415819e-05,-0.044808071346838,147.1862335205078
8,Random Searching,80,20,506,366,"[30, -16, 153, 44, -72, 133, -148, 131, 53, 44, -79, -82, 110, 156, 37, 151, -106, -124, 168, 140, -23, 41, -166, -12, -76, 80, -96, -147, 177, 176, -180, -93, 161, 40, -111, -159, -122, 101, 89, 44, -24, 95, 151, -154, 36, -146, 68, -36]",0.9999857904835115,0.004754301888169721,0.005830513799523768,5.9429196543914414e-05,-0.24404978435174962,147.36065220832825
9,Random Searching,98,2,160,20,"[-133, 53, 82, 173, -49, -177, -129, -21, -52, -66, -23, -165, -146, 72, -157, 174, -153, 86, -149, -107, 42, 127, -157, 108, -119, -61, 68, -118, 90, 16, 99, 57, -47, -25, -112, 53, 6, -134, -128, -42, 83, 59, -115, 149, 22, 42, -38, 16]",0.9999878406568875,0.0008339898243624095,0.002093971559796213,1.0425498737523164e-05,-0.04536752090087846,145.31014442443848
