,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Random Searching,207,107,605,465,"[-62, 132, 60, 157, 81, 33, 7, -146, 103, 9, -113, -12, -79, -72, -43, 44, -28, -29, 13, -14, 90, -140, 124, -26, -100, 167, -75, 171, -41, -17, -74, 128, -155, -95, 154, 105, 147, 136, 131, -164, 126, 70, 180, -140, -48, 99, -95, -102]",0.9999679915948909,0.0011587493111922715,0.002967823361113447,1.4484922787338652e-05,0.30179080886855253,484.7145502567291
1,Random Searching,11,89,93,47,"[-81, -139, -90, 121, 68, -54, 124, -5, 44, -141, -118, 12, -163, 36, -141, 131, -122, -110, -161, -89, -9, -5, 54, 114, -68, 58, -115, -18, 4, 1, 87, -159, -134, 137, -39, -134, 25, -7, 93, 157, -142, -90, -122, -51, 135, 56, 65, -76]",0.9999671169651829,0.001120619048985342,0.003189962020990271,1.4008373958326808e-05,0.13979498938426124,471.3885700702667
2,Random Searching,68,32,759,619,"[-42, -7, -87, -52, 16, -133, 125, -83, 114, -173, -21, -102, -25, 127, 97, 169, 146, -74, -24, 92, 40, -157, -28, -37, -30, -141, -27, 0, -78, -43, -67, -111, 101, 1, 124, 35, 31, -15, 164, -60, -130, 86, 133, -5, -19, -77, 14, -119]",0.9999769169883351,0.0012279338213071849,0.002740760757134036,1.5349677983487875e-05,0.20780993296101488,470.5606334209442
3,Random Searching,51,49,299,159,"[110, -86, 144, 177, -164, -137, -13, 169, 126, -85, -12, 166, -25, -26, -135, 101, 91, -4, 40, -41, 95, 2, -42, -30, -105, -97, 58, -165, 78, -147, 94, -62, -92, 98, -36, 3, -5, 129, -107, -167, -23, 104, 147, -120, 6, 93, -149, -29]",0.9999741288370351,0.0011215119496531165,0.0026346549966164475,1.401941066746658e-05,0.22866330077208835,480.7570061683655
4,Random Searching,556,456,654,514,"[136, 173, -93, 15, -124, 25, 102, 109, 151, 63, 44, -94, -16, -127, -127, -74, -127, 60, 72, -43, 51, 135, -170, 63, 129, -149, -111, -10, 11, -92, -117, 108, -83, -71, 1, 0, 76, -162, -88, 35, 119, -99, 70, 156, 153, 58, 170, -91]",0.9999654787512883,0.0011598698038142174,0.0032966558758899187,1.4498971995378568e-05,0.10362458786352909,477.12446665763855
5,Random Searching,202,102,417,277,"[117, 140, 164, 135, -123, -135, 49, 143, 7, -44, 68, -10, -118, 167, 23, 41, 159, -96, -153, 155, 152, 171, 84, -14, -67, 66, -125, 15, -105, 75, -26, 20, -11, 93, -31, -156, -30, 24, 38, 95, 50, -11, 168, -161, -28, -4, -17, 127]",0.9999542543845084,0.0012211700037975486,0.003802361030312256,1.5265379554848875e-05,0.15406915625077802,472.677579164505
6,Random Searching,281,181,463,323,"[82, 89, -15, -134, 115, 11, -119, -95, 57, 81, 102, 90, -85, 103, -23, 156, 137, 176, -19, 98, -98, -105, -21, 88, 180, 40, -109, 134, -155, 94, -95, -81, 59, 107, 170, -169, -46, 162, -153, -95, -169, 74, -85, 29, -46, 25, 169, 174]",0.9999654462466929,0.0044114136981079355,0.007294326303971501,5.514341454814991e-05,0.13048080315022964,478.8556230068207
7,Random Searching,609,509,842,702,"[-91, -43, -122, -81, 84, 18, -173, -156, 80, -53, 10, 94, 180, 166, 19, -71, -93, 51, 54, -24, -90, -22, -7, -5, 81, 52, 42, 102, -47, 136, -155, 43, -68, 77, 26, 45, -121, -100, -159, 11, -89, -56, -29, 177, 108, 73, 161, -170]",0.9999736690570018,0.001227682820172049,0.002841611792397235,1.5346662798029594e-05,0.1427190076358638,470.9776334762573
8,Random Searching,313,213,824,684,"[126, -129, 47, -45, 115, -105, -110, -107, 148, -25, -178, -44, -156, 54, 180, -74, 126, -21, -38, 109, -22, 52, 88, -113, -138, -99, -91, 133, 3, -81, 26, 77, -12, -21, 79, -104, 3, 112, 158, 8, -139, 6, -50, 3, -106, -112, 114, 140]",0.9999693733278074,0.0010779338626889512,0.002689860850645007,1.347476863420899e-05,0.1582232906525014,475.49590492248535
9,Random Searching,70,30,167,27,"[-22, 101, 81, -12, 178, 164, 74, 29, 109, -175, 68, 159, -151, -126, -85, -16, -72, 62, -119, -165, 178, -81, -15, -27, 11, -89, 70, -85, 76, -80, -177, -116, 115, -50, 84, 162, -90, 57, 136, -60, -103, 96, -16, 46, -15, -140, 72, 1]",0.9999699962821844,0.0011859869458324588,0.0030867869039745313,1.4825450575036726e-05,0.12016241958278218,478.28883934020996
